ablation,ablation_label,transition,transition_label,phase,phase_label,value,n_familiar_conditions
pv_plasticity,No FF->PV plast.,FF_FB_broad,"FF -> FB
(broad)",expert,Expert,8.751625902057885,2
pv_plasticity,No FF->PV plast.,FF_FB_broad_novel,"FF -> FB
(broad nov)",naive,Naive,-19.592233551428382,2
pv_plasticity,No FF->PV plast.,FF_FB_broad_novel,"FF -> FB
(broad nov)",expert,Expert,8.368071799352284,2
pv_plasticity,No FF->PV plast.,FF_FB_narrow_familiar,"FF -> FB
(narrow fam)",naive,Naive,-15.788398502238463,2
pv_plasticity,No FF->PV plast.,FF_FB_narrow_familiar,"FF -> FB
(narrow fam)",expert,Expert,7.776594541476051,2
pv_plasticity,No FF->PV plast.,FF_FB_narrow_familiar_novel,"FF -> FB
(narrow fam+nov)",naive,Naive,-16.170665739783225,2
pv_plasticity,No FF->PV plast.,FF_FB_narrow_familiar_novel,"FF -> FB
(narrow fam+nov)",expert,Expert,7.122774233921893,2
pv_plasticity,No FF->PV plast.,FF_FB_narrow_novel,"FF -> FB
(narrow nov)",naive,Naive,9.023569440161026,2
pv_plasticity,No FF->PV plast.,FF_FB_narrow_novel,"FF -> FB
(narrow nov)",expert,Expert,16.008812885383733,2
pv_plasticity,No FF->PV plast.,FB_FB,FB -> FB,naive,Naive,24.90416904459419,2
pv_plasticity,No FF->PV plast.,FB_FB,FB -> FB,expert,Expert,34.72205874491951,2
all_adaptation_plasticity,No all adapt. plast.,un_un,un -> un,naive,Naive,3.655776650505859,2
all_adaptation_plasticity,No all adapt. plast.,un_un,un -> un,expert,Expert,3.7450378080429036,2
all_adaptation_plasticity,No all adapt. plast.,un_FF,un -> FF,naive,Naive,-0.17565682230371127,2
all_adaptation_plasticity,No all adapt. plast.,un_FF,un -> FF,expert,Expert,-0.11300360656410857,2
all_adaptation_plasticity,No all adapt. plast.,un_FB,un -> FB,naive,Naive,4.052483436367425,2
all_adaptation_plasticity,No all adapt. plast.,un_FB,un -> FB,expert,Expert,13.163295184253663,2
all_adaptation_plasticity,No all adapt. plast.,FF_un,FF -> un,naive,Naive,-26.857961985845197,2
all_adaptation_plasticity,No all adapt. plast.,FF_un,FF -> un,expert,Expert,-25.60631258756883,2
all_adaptation_plasticity,No all adapt. plast.,FF_FF,FF -> FF,naive,Naive,-30.312094022876853,2
all_adaptation_plasticity,No all adapt. plast.,FF_FF,FF -> FF,expert,Expert,-28.931737685359863,2
all_adaptation_plasticity,No all adapt. plast.,FF_FB_broad,"FF -> FB
(broad)",naive,Naive,-19.24436890269895,2
all_adaptation_plasticity,No all adapt. plast.,FF_FB_broad,"FF -> FB
(broad)",expert,Expert,-17.75340745401811,2
all_adaptation_plasticity,No all adapt. plast.,FF_FB_broad_novel,"FF -> FB
(broad nov)",naive,Naive,-19.592233551428386,2
all_adaptation_plasticity,No all adapt. plast.,FF_FB_broad_novel,"FF -> FB
(broad nov)",expert,Expert,-18.04357891838626,2
all_adaptation_plasticity,No all adapt. plast.,FF_FB_narrow_familiar,"FF -> FB
(narrow fam)",naive,Naive,-15.788398502238465,2
all_adaptation_plasticity,No all adapt. plast.,FF_FB_narrow_familiar,"FF -> FB
(narrow fam)",expert,Expert,-13.235484996644132,2
