transition,image_group,image_idx_original,image_idx_within_group,neuron_idx,image_type,stage,response
post,familiar,4,3,128,Full,Pre,-0.155903570718092
post,familiar,4,3,129,Full,Pre,-0.0515333652923189
post,familiar,4,3,130,Full,Pre,1.30456633049034
post,familiar,4,3,131,Full,Pre,-0.9684951715152
post,familiar,4,3,132,Full,Pre,-0.112229648092457
post,familiar,4,3,133,Full,Pre,-0.36659476375935
post,familiar,4,3,134,Full,Pre,0.183496555845412
post,familiar,4,3,135,Full,Pre,0.892769701252199
post,familiar,4,3,136,Full,Pre,0.874696568617322
post,familiar,4,3,137,Full,Pre,1.06056540049588
post,familiar,4,3,138,Full,Pre,-0.213513007721064
post,familiar,4,3,139,Full,Pre,1.4130375606071
post,familiar,4,3,140,Full,Pre,0.109005088879462
post,familiar,4,3,141,Full,Pre,-0.256313774356689
post,familiar,4,3,142,Full,Pre,0.127375379739319
post,familiar,4,3,143,Full,Pre,0.452279798814773
post,familiar,4,3,144,Full,Pre,-0.0212143678003821
post,familiar,4,3,145,Full,Pre,0.00273553395638465
post,familiar,4,3,146,Full,Pre,1.26778832708272
post,familiar,4,3,147,Full,Pre,-0.000198300382910827
post,familiar,4,3,148,Full,Pre,0.49392445675337
post,familiar,4,3,149,Full,Pre,0.714200863125126
post,familiar,4,3,150,Full,Pre,-0.0552560204595845
post,familiar,4,3,151,Full,Pre,0.8975877633393
post,familiar,4,3,152,Full,Pre,0.29558636572186
post,familiar,4,3,153,Full,Pre,-0.0777264760679693
post,familiar,4,3,154,Full,Pre,0.395972692513479
post,familiar,4,3,155,Full,Pre,0.147719146312968
post,familiar,4,3,156,Full,Pre,0.0807875517615602
post,familiar,4,3,157,Full,Pre,1.564424212116
post,familiar,4,3,158,Full,Pre,0.72752004907709
post,familiar,4,3,159,Full,Pre,0.105088627747052
post,familiar,4,3,160,Full,Pre,1.63762656077467
post,familiar,4,3,161,Full,Pre,1.08519512446485
post,familiar,4,3,162,Full,Pre,0.00561212823497115
post,familiar,4,3,163,Full,Pre,0.293675201376151
post,familiar,4,3,164,Full,Pre,0.269734450485465
post,familiar,4,3,165,Full,Pre,2.48093642535942
post,familiar,4,3,166,Full,Pre,0.764836208296473
post,familiar,5,4,1,Full,Pre,1.0591380000589
post,familiar,5,4,2,Full,Pre,0.158231657971322
post,familiar,5,4,3,Full,Pre,-0.40167209230206
post,familiar,5,4,4,Full,Pre,2.9061643604056
